"Geo","Year","PropSovDvmtDiverted"
"Keizer",2005,0.01824034
"Marion_Inside_UGB_1",2005,0.010106135
"Marion_Inside_UGB_2",2005,0.007517978
"Marion_Inside_UGB_3",2005,0.012324554
"Marion_Outside_UGB",2005,0.012324554
"Polk",2005,0.012324554
"Salem_1",2005,0.030505003
"Salem_2",2005,0.033157612
"Salem_3",2005,0.065073647
"Salem_4",2005,0.042396467
"Salem_5",2005,0.04646357
"Turner",2005,0.012324554
"Keizer",2021,0.024320454
"Marion_Inside_UGB_1",2021,0.013474846
"Marion_Inside_UGB_2",2021,0.010023971
"Marion_Inside_UGB_3",2021,0.019267054
"Marion_Outside_UGB",2021,0.016432739
"Polk",2021,0.021233529
"Salem_1",2021,0.043215421
"Salem_2",2021,0.046973284
"Salem_3",2021,0.101730045
"Salem_4",2021,0.054470023
"Salem_5",2021,0.061951427
"Turner",2021,0.016432739
"Keizer",2050,0.048640908
"Marion_Inside_UGB_1",2050,0.018864785
"Marion_Inside_UGB_2",2050,0.014033559
"Marion_Inside_UGB_3",2050,0.026973876
"Marion_Outside_UGB",2050,0.032865478
"Polk",2050,0.042467059
"Salem_1",2050,0.086430842
"Salem_2",2050,0.093946567
"Salem_3",2050,0.203460091
"Salem_4",2050,0.108940046
"Salem_5",2050,0.123902853
"Turner",2050,0.032865478
