"Geo","Year","PropSFChargingAvail","PropMFChargingAvail","PropGQChargingAvail"
"Eugene",2005,0.65,0,0
"Springfield",2005,0.65,0,0
"Coburg",2005,0.65,0,0
"Eugene",2010,0.75,0,0
"Springfield",2010,0.75,0,0
"Coburg",2010,0.75,0,0
"Eugene",2020,0.88,0.016,0.038
"Springfield",2020,0.88,0.016,0.038
"Coburg",2020,0.88,0.016,0.038
"Eugene",2035,0.95,0.115,0.287
"Springfield",2035,0.95,0.115,0.287
"Coburg",2035,0.95,0.115,0.287
"Eugene",2045,0.95,0.172,0.429
"Springfield",2045,0.95,0.172,0.429
"Coburg",2045,0.95,0.172,0.429
